2016-5-13,-1149.29
2016-5-12,-1909.92
2016-5-11,2091.08
2016-5-10,-184.43
2016-5-9,-1270.71
2016-5-6,-5300.79
2016-5-5,-68.67
2016-5-4,-2140.69
2016-5-3,2363.16
2016-4-29,-780.08
2016-4-28,99.97
2016-4-27,1538.86
2016-4-26,-955.68
2016-4-25,5898.48
2016-4-21,220.05
2016-4-20,-3650.35
2016-4-19,-904.05
2016-4-18,-1253.67
2016-4-15,1344.4
2016-4-14,212.99
2016-4-13,997.62
2016-4-12,100.54
2016-4-11,292.13
2016-4-8,-949.5
2016-4-7,-504.17
2016-4-6,846.65
2016-4-5,989.5
2016-4-1,-523.71
2016-3-31,1037.73
2016-3-30,-1633.92
2016-3-29,-1626.99
2016-3-28,2.45
2016-3-25,-829.4
2016-3-24,175.21
2016-3-23,819.47
2016-3-22,-1349.77
2016-3-21,183.41
2016-3-18,1336.87
2016-3-17,763.07
2016-3-16,-0.52
2016-3-15,-491.67
2016-3-14,2240.2
2016-3-11,-802.05
2016-3-10,-988.89
2016-3-9,-1588.42
2016-3-8,421.05
2016-3-7,-95.38
2016-3-4,-2355.37
2016-3-3,628.25
2016-3-2,824.98
2016-3-1,22.49
2016-2-29,-6551.48
2016-2-26,1677.9
2016-2-25,-3944.61
2016-2-24,-2003.12
2016-2-23,402.6
2016-2-22,428.04
2016-2-19,-1970.44
2016-2-18,-797.06
2016-2-17,340.57
2016-2-16,5056.71
2016-2-15,-167.42
2016-2-5,3198.88
2016-2-4,1379.12
2016-2-3,2732.5
2016-2-2,1733.41
2016-2-1,-1177.55
2016-1-29,59.79
2016-1-28,-1455.98
2016-1-27,-399.95
2016-1-26,860.38
2016-1-25,1136.64
2016-1-22,-1680.19
2016-1-21,1620.18
2016-1-20,-1116.25
2016-1-19,2719.37
2016-1-18,2025.69
2016-1-15,-2681.54
2016-1-14,1079.66
2016-1-13,-1066.42
2016-1-12,-985.54
2016-1-11,-4101.31
2016-1-8,-957.47
2016-1-7,-855.85
2016-1-6,194.44
2016-1-5,-539.24
2016-1-4,-1536.52
2015-12-31,-622.72
