C: 0.7,  Sigma: 0.04, TP:2.0, FP:2.0, TN:19.0, FN:27.0, Precesion: 0.5, Recall: 0.07, Accuracy: 0.42, Eidx_Training: 73.98064, Eidx_CV: 49.98504 
C: 0.7,  Sigma: 0.05, TP:0.0, FP:0.0, TN:21.0, FN:29.0, Precesion: 0, Recall: 0.0, Accuracy: 0.42, Eidx_Training: 114.48845, Eidx_CV: 52.07 
C: 0.7,  Sigma: 0.08, TP:23.0, FP:17.0, TN:4.0, FN:6.0, Precesion: 0.57, Recall: 0.79, Accuracy: 0.54, Eidx_Training: 84.58636, Eidx_CV: 49.82573 
C: 0.6,  Sigma: 0.3, TP:21.0, FP:16.0, TN:5.0, FN:8.0, Precesion: 0.57, Recall: 0.72, Accuracy: 0.52, Eidx_Training: 157.99534, Eidx_CV: 49.06814 
C: 0.6,  Sigma: 0.05, TP:29.0, FP:20.0, TN:1.0, FN:0.0, Precesion: 0.59, Recall: 1.0, Accuracy: 0.6, Eidx_Training: 112.3344, Eidx_CV: 48.161 
C: 1.0,  Sigma: 0.05, TP:29.0, FP:21.0, TN:0.0, FN:0.0, Precesion: 0.58, Recall: 1.0, Accuracy: 0.58, Eidx_Training: 160.88047, Eidx_CV: 44.28208 
C: 0.8,  Sigma: 0.5, TP:22.0, FP:13.0, TN:8.0, FN:7.0, Precesion: 0.63, Recall: 0.76, Accuracy: 0.6, Eidx_Training: 190.35167, Eidx_CV: 48.82411 
C: 1.5,  Sigma: 2.0, TP:5.0, FP:5.0, TN:16.0, FN:24.0, Precesion: 0.5, Recall: 0.17, Accuracy: 0.42, Eidx_Training: 255.10058, Eidx_CV: 60.01687 
C: 0.8,  Sigma: 0.1, TP:26.0, FP:18.0, TN:3.0, FN:3.0, Precesion: 0.59, Recall: 0.9, Accuracy: 0.58, Eidx_Training: 84.75139, Eidx_CV: 48.7326 
C: 0.6,  Sigma: 0.1, TP:27.0, FP:20.0, TN:1.0, FN:2.0, Precesion: 0.57, Recall: 0.93, Accuracy: 0.56, Eidx_Training: 121.65834, Eidx_CV: 48.42898 
C: 0.7,  Sigma: 0.1, TP:25.0, FP:18.0, TN:3.0, FN:4.0, Precesion: 0.58, Recall: 0.86, Accuracy: 0.56, Eidx_Training: 105.04186, Eidx_CV: 49.97619 
C: 0.6,  Sigma: 1.0, TP:19.0, FP:15.0, TN:6.0, FN:10.0, Precesion: 0.56, Recall: 0.66, Accuracy: 0.5, Eidx_Training: 272.43005, Eidx_CV: 63.77796 
C: 1.5,  Sigma: 0.3, TP:24.0, FP:15.0, TN:6.0, FN:5.0, Precesion: 0.62, Recall: 0.83, Accuracy: 0.6, Eidx_Training: 200.86945, Eidx_CV: 52.8373 
