C: 0.7,  Sigma: 0.06, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 156.96105, Eidx_CV: 49.97548 
C: 0.6,  Sigma: 0.8, TP:18.0, FP:14.0, TN:11.0, FN:7.0, Precesion: 0.56, Recall: 0.72, Accuracy: 0.58, Eidx_Training: 153.31257, Eidx_CV: 46.47574 
C: 0.7,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 154.23298, Eidx_CV: 50.08142 
C: 1.3,  Sigma: 2.0, TP:18.0, FP:13.0, TN:12.0, FN:7.0, Precesion: 0.58, Recall: 0.72, Accuracy: 0.6, Eidx_Training: 223.17927, Eidx_CV: 47.87751 
C: 0.8,  Sigma: 2.0, TP:16.0, FP:8.0, TN:17.0, FN:9.0, Precesion: 0.67, Recall: 0.64, Accuracy: 0.66, Eidx_Training: 192.66307, Eidx_CV: 40.2011 
C: 0.8,  Sigma: 0.5, TP:21.0, FP:16.0, TN:9.0, FN:4.0, Precesion: 0.57, Recall: 0.84, Accuracy: 0.6, Eidx_Training: 119.27954, Eidx_CV: 48.19311 
C: 0.7,  Sigma: 0.8, TP:5.0, FP:5.0, TN:20.0, FN:20.0, Precesion: 0.5, Recall: 0.2, Accuracy: 0.5, Eidx_Training: 223.5558, Eidx_CV: 53.08952 
C: 0.7,  Sigma: 0.1, TP:3.0, FP:4.0, TN:21.0, FN:22.0, Precesion: 0.43, Recall: 0.12, Accuracy: 0.48, Eidx_Training: 70.08155, Eidx_CV: 49.51811 
C: 0.7,  Sigma: 0.3, TP:18.0, FP:17.0, TN:8.0, FN:7.0, Precesion: 0.51, Recall: 0.72, Accuracy: 0.52, Eidx_Training: 90.98727, Eidx_CV: 50.55685 
C: 0.7,  Sigma: 0.5, TP:20.0, FP:16.0, TN:9.0, FN:5.0, Precesion: 0.56, Recall: 0.8, Accuracy: 0.58, Eidx_Training: 119.00603, Eidx_CV: 49.3108 
C: 1.3,  Sigma: 1.0, TP:15.0, FP:10.0, TN:15.0, FN:10.0, Precesion: 0.6, Recall: 0.6, Accuracy: 0.6, Eidx_Training: 190.58141, Eidx_CV: 48.81476 
C: 0.8,  Sigma: 1.0, TP:18.0, FP:14.0, TN:11.0, FN:7.0, Precesion: 0.56, Recall: 0.72, Accuracy: 0.58, Eidx_Training: 155.76987, Eidx_CV: 46.07672 
C: 0.6,  Sigma: 0.3, TP:24.0, FP:24.0, TN:1.0, FN:1.0, Precesion: 0.5, Recall: 0.96, Accuracy: 0.5, Eidx_Training: 129.42491, Eidx_CV: 50.05482 
C: 1.0,  Sigma: 0.5, TP:24.0, FP:20.0, TN:5.0, FN:1.0, Precesion: 0.55, Recall: 0.96, Accuracy: 0.58, Eidx_Training: 156.15336, Eidx_CV: 50.96707 
C: 1.3,  Sigma: 0.8, TP:20.0, FP:17.0, TN:8.0, FN:5.0, Precesion: 0.54, Recall: 0.8, Accuracy: 0.56, Eidx_Training: 156.04997, Eidx_CV: 47.98979 
C: 0.7,  Sigma: 2.0, TP:23.0, FP:17.0, TN:8.0, FN:2.0, Precesion: 0.57, Recall: 0.92, Accuracy: 0.62, Eidx_Training: 289.54656, Eidx_CV: 55.28254 
C: 1.0,  Sigma: 1.0, TP:22.0, FP:17.0, TN:8.0, FN:3.0, Precesion: 0.56, Recall: 0.88, Accuracy: 0.6, Eidx_Training: 212.85071, Eidx_CV: 52.17602 
C: 0.7,  Sigma: 1.0, TP:13.0, FP:13.0, TN:12.0, FN:12.0, Precesion: 0.5, Recall: 0.52, Accuracy: 0.5, Eidx_Training: 175.51701, Eidx_CV: 47.20766 
C: 0.6,  Sigma: 2.0, TP:21.0, FP:17.0, TN:8.0, FN:4.0, Precesion: 0.55, Recall: 0.84, Accuracy: 0.58, Eidx_Training: 233.71833, Eidx_CV: 49.37184 
C: 0.6,  Sigma: 0.5, TP:21.0, FP:18.0, TN:7.0, FN:4.0, Precesion: 0.54, Recall: 0.84, Accuracy: 0.56, Eidx_Training: 128.68778, Eidx_CV: 49.78002 
C: 0.8,  Sigma: 0.1, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 133.81759, Eidx_CV: 50.03602 
C: 0.8,  Sigma: 1.5, TP:16.0, FP:16.0, TN:9.0, FN:9.0, Precesion: 0.5, Recall: 0.64, Accuracy: 0.5, Eidx_Training: 181.73006, Eidx_CV: 46.61926 
C: 1.0,  Sigma: 0.3, TP:22.0, FP:17.0, TN:8.0, FN:3.0, Precesion: 0.56, Recall: 0.88, Accuracy: 0.6, Eidx_Training: 69.14212, Eidx_CV: 49.66555 
C: 4.0,  Sigma: 0.1, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 187.461, Eidx_CV: 50.81621 
C: 0.7,  Sigma: 1.5, TP:16.0, FP:10.0, TN:15.0, FN:9.0, Precesion: 0.62, Recall: 0.64, Accuracy: 0.62, Eidx_Training: 185.7845, Eidx_CV: 43.08928 
C: 0.8,  Sigma: 0.3, TP:23.0, FP:22.0, TN:3.0, FN:2.0, Precesion: 0.51, Recall: 0.92, Accuracy: 0.52, Eidx_Training: 108.42213, Eidx_CV: 49.5324 
C: 1.8,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 246.18252, Eidx_CV: 54.55144 
C: 3.0,  Sigma: 0.1, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 187.461, Eidx_CV: 50.81621 
C: 0.6,  Sigma: 1.5, TP:20.0, FP:10.0, TN:15.0, FN:5.0, Precesion: 0.67, Recall: 0.8, Accuracy: 0.7, Eidx_Training: 189.78737, Eidx_CV: 42.02853 
C: 1.3,  Sigma: 0.1, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 215.55733, Eidx_CV: 51.49925 
C: 3.0,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 216.06264, Eidx_CV: 50.51593 
C: 1.3,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 245.99635, Eidx_CV: 53.47722 
C: 4.0,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 214.2288, Eidx_CV: 50.91592 
C: 1.8,  Sigma: 0.1, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.05412, Eidx_CV: 51.40893 
C: 1.5,  Sigma: 0.06, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 215.87886, Eidx_CV: 50.6481 
C: 1.5,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 216.45252, Eidx_CV: 50.3612 
C: 1.5,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 213.85034, Eidx_CV: 50.90549 
C: 1.3,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 215.23623, Eidx_CV: 50.51074 
C: 4.0,  Sigma: 0.06, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 294.92913, Eidx_CV: 63.87846 
C: 4.0,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 216.45252, Eidx_CV: 50.3612 
C: 0.8,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 144.73817, Eidx_CV: 50.13397 
C: 3.0,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 214.2288, Eidx_CV: 50.91592 
C: 3.0,  Sigma: 0.06, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 294.92913, Eidx_CV: 63.87846 
C: 1.5,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 216.06264, Eidx_CV: 50.51593 
C: 1.3,  Sigma: 0.5, TP:19.0, FP:16.0, TN:9.0, FN:6.0, Precesion: 0.54, Recall: 0.76, Accuracy: 0.56, Eidx_Training: 89.62212, Eidx_CV: 48.53961 
C: 4.0,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 216.06264, Eidx_CV: 50.51593 
C: 2.0,  Sigma: 0.1, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 211.52464, Eidx_CV: 51.39765 
C: 1.8,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 216.45252, Eidx_CV: 50.3612 
C: 3.0,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 216.45252, Eidx_CV: 50.3612 
C: 1.8,  Sigma: 0.06, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 294.92913, Eidx_CV: 63.87846 
C: 2.0,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 214.2288, Eidx_CV: 50.91592 
C: 2.0,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 216.45252, Eidx_CV: 50.3612 
C: 2.0,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 216.06264, Eidx_CV: 50.51593 
C: 2.0,  Sigma: 0.06, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 294.92913, Eidx_CV: 63.87846 
