C: 2.0,  Sigma: 0.1, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4 
C: 2.0,  Sigma: 0.3, Precesion: 0.5, Recall: 0.44, Accuracy: 0.6 
C: 2.0,  Sigma: 0.5, Precesion: 0.41, Recall: 1.0, Accuracy: 0.42 
C: 2.0,  Sigma: 0.8, Precesion: 0.47, Recall: 0.78, Accuracy: 0.56 
C: 2.0,  Sigma: 1.0, Precesion: 0.43, Recall: 0.89, Accuracy: 0.49 
C: 2.0,  Sigma: 1.5, Precesion: 0.46, Recall: 0.33, Accuracy: 0.58 
C: 2.0,  Sigma: 2.0, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4 
C: 3.0,  Sigma: 0.06, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4 
C: 3.0,  Sigma: 0.08, Precesion: 0.42, Recall: 1.0, Accuracy: 0.44 
C: 3.0,  Sigma: 0.1, Precesion: 0.46, Recall: 0.94, Accuracy: 0.53 
C: 3.0,  Sigma: 0.3, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4 
C: 3.0,  Sigma: 0.5, Precesion: 0.44, Recall: 0.61, Accuracy: 0.53 
C: 3.0,  Sigma: 0.8, Precesion: 0.56, Recall: 0.5, Accuracy: 0.64 
C: 3.0,  Sigma: 1.0, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4 
C: 3.0,  Sigma: 1.5, Precesion: 0.41, Recall: 1.0, Accuracy: 0.42 
C: 3.0,  Sigma: 2.0, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4 
C: 4.0,  Sigma: 0.06, Precesion: 0.41, Recall: 1.0, Accuracy: 0.42 
C: 4.0,  Sigma: 0.08, Precesion: 0.42, Recall: 1.0, Accuracy: 0.44 
C: 4.0,  Sigma: 0.1, Precesion: 0.45, Recall: 0.94, Accuracy: 0.51 
C: 4.0,  Sigma: 0.3, Precesion: 0.38, Recall: 0.56, Accuracy: 0.47 
C: 4.0,  Sigma: 0.5, Precesion: 0.42, Recall: 0.78, Accuracy: 0.49 
C: 4.0,  Sigma: 0.8, Precesion: 0.65, Recall: 0.61, Accuracy: 0.71 
C: 4.0,  Sigma: 1.0, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4 
C: 4.0,  Sigma: 1.5, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4 
C: 4.0,  Sigma: 2.0, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4 
