quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,open_price-Order2,high_price-Order2,low_price-Order2,close_price-Order2,trading_volumn-Order2,Capital-Order2,PE_TTM-Order2,PB-Order2,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB,nor_open_price-Order2,nor_high_price-Order2,nor_low_price-Order2,nor_close_price-Order2,nor_trading_volumn-Order2,nor_Capital-Order2,nor_PE_TTM-Order2,nor_PB-Order2
2017-05-09,1951,sz300226,34.88,36.78,36.83,34.8,day,61552.0,,214.68229488,10.9090909091,1216.6144,1352.7684,1356.4489,1211.04,3788648704.0,,46088.4877348,119.008264463,-1.59951623211,-1.35747735555,-1.42136161727,-1.55012194133,0.0673161214155,,1.39341015182,-0.839238240282,-1.43714166577,-1.25411756495,-1.29152389303,-1.40861308357,-0.201484473618,,1.09559054671,-0.681516251583
2017-05-05,1949,sz300226,33.72,33.71,34.8,33.71,day,15944.0,-482.09,207.958050586,10.5673981191,1137.0384,1136.3641,1211.04,1136.3641,254211136.0,232410.7681,43246.5508036,111.669903008,-1.74396114532,-1.73650573814,-1.65857301267,-1.69235583279,-0.941316052369,-0.0436049219423,1.34243100064,-0.852891452486,-1.53876377477,-1.52685731819,-1.45966401998,-1.51109268355,-0.627330289796,-0.188014599178,0.98357059595,-0.684798747334
2017-05-04,1948,sz300226,34.84,34.4,35.12,34.37,day,18872.0,11.99,212.029611351,10.7742946708,1213.8256,1183.36,1233.4144,1181.2969,356152384.0,143.7601,44956.5560897,116.085425654,-1.60449709119,-1.65131694856,-1.62118008335,-1.60623255906,-0.876562609884,0.0418883187269,1.37329911053,-0.844624369867,-1.44070308802,-1.46762720969,-1.4337919141,-1.44943028149,-0.615047924322,-0.189333678044,1.0509734668,-0.682823655971
2017-05-03,1947,sz300226,35.0,34.83,35.0,34.63,day,14866.0,-264.04,213.633559531,10.855799373,1225.0,1213.1289,1225.0,1199.2369,220997956.0,69717.1216,45639.297758,117.848380028,-1.58457365488,-1.5982282826,-1.63520243184,-1.57230520881,-0.965156288366,-0.00587459258688,1.38545927503,-0.84136764035,-1.42643287973,-1.43010872027,-1.44352170564,-1.42481077207,-0.631331971386,-0.188938560581,1.07788493243,-0.682035075268
2017-04-28,1945,sz300226,34.81,34.9,35.2,34.5,day,17030.0,-511.77,212.831585441,10.8150470219,1211.7361,1218.01,1239.04,1190.25,290020900.0,261908.5329,45297.2837614,116.965242087,-1.6082327355,-1.58958594163,-1.61183185102,-1.58926888394,-0.917298894398,-0.0487406072221,1.37937919278,-0.842996005109,-1.44337147292,-1.42395694782,-1.4272868852,-1.43714371907,-0.62301575944,-0.187847076987,1.06440384824,-0.682430108485
2017-04-27,1944,sz300226,33.89,35.11,35.46,33.3,day,38089.0,2794.29,205.428747687,10.4388714734,1148.5321,1232.7121,1257.4116,1108.89,1450771921.0,7808056.6041,42200.9703761,108.970037637,-1.72279249425,-1.56365891872,-1.58145009594,-1.74585665434,-0.451573913085,0.523324206668,1.32325535662,-0.858027064416,-1.52408580611,-1.40542752338,-1.406043322,-1.54879607619,-0.483162966342,-0.144991380319,0.942357201413,-0.686006414285
2017-04-26,1943,sz300226,33.49,33.6,33.9,33.4,day,12339.0,-91.14,206.045650833,10.4702194357,1121.5801,1128.96,1149.21,1115.56,152250921.0,8306.4996,42454.8102271,109.625495032,-1.77260108501,-1.75008655966,-1.7637406264,-1.73280767347,-1.0210415169,0.0240431966612,1.32793234297,-0.85677447614,-1.55850471485,-1.53618889066,-1.53115967155,-1.53964266884,-0.639614940505,-0.189287320633,0.952362746328,-0.685713224024
2017-04-25,1942,sz300226,33.29,33.49,34.2,33.18,day,13987.0,744.24,204.688463911,10.4012539185,1108.2241,1121.5801,1169.64,1100.9124,195636169.0,553893.1776,41897.3672583,108.186083077,-1.79750538039,-1.76366738119,-1.72868475516,-1.76151543138,-0.984595590259,0.168593357344,1.31764297301,-0.859530170347,-1.57556092385,-1.54548996326,-1.50753592642,-1.55974393563,-0.634387679876,-0.186188852784,0.930390149672,-0.686357082146
2017-04-24,1941,sz300226,34.15,33.04,34.15,33.01,day,12596.0,-563.21,203.639728563,10.3479623824,1166.2225,1091.6416,1166.2225,1089.6601,158659216.0,317205.5041,41469.1390491,107.080325468,-1.69041691025,-1.81922528743,-1.73452740036,-1.78369869885,-1.01535789849,-0.0576415388527,1.30969209622,-0.861659570415,-1.50149437456,-1.5832222038,-1.51148767135,-1.57518574755,-0.638842838703,-0.187533037267,0.913510780399,-0.686851694557
2017-04-21,1940,sz300226,34.88,34.15,34.99,33.97,day,16005.0,-1066.51,209.561998766,10.6489028213,1216.6144,1166.2225,1224.3001,1153.9609,256160025.0,1137443.5801,43916.2313269,113.399131298,-1.59951623211,-1.68218245203,-1.63637096089,-1.65842848253,-0.939967022317,-0.144730164235,1.35459116514,-0.849634722969,-1.43714166577,-1.48922602968,-1.44433101838,-1.48694415605,-0.627095478398,-0.182874783301,1.00996723355,-0.684025252522
2017-04-20,1939,sz300226,34.4,35.0,35.28,33.83,day,23143.0,676.06,208.698334362,10.605015674,1183.36,1225.0,1244.6784,1144.4689,535598449.0,457057.1236,43554.9947653,112.466357445,-1.65928654103,-1.57723974024,-1.60248361868,-1.67669705575,-0.782108391014,0.156795816159,1.34804338426,-0.851388346555,-1.47960902102,-1.41514727595,-1.42076705531,-1.49997026438,-0.59342741058,-0.18673879913,0.995728458083,-0.684442488198
2017-04-19,1938,sz300226,34.55,34.4,34.98,33.7,day,19343.0,-602.69,207.896360271,10.5642633229,1193.7025,1183.36,1223.6004,1135.69,374151649.0,363235.2361,43220.8966141,111.603659555,-1.64060831949,-1.65131694856,-1.63753948993,-1.69366073087,-0.866146328665,-0.0644729692721,1.34196330201,-0.853016711314,-1.46640118622,-1.46762720969,-1.44514009985,-1.51201776779,-0.612879287432,-0.187271627576,0.982559390878,-0.684828378452
2017-04-18,1937,sz300226,35.76,34.73,36.3,34.6,day,17770.0,-1231.01,213.448488587,10.8463949843,1278.7776,1206.1729,1317.69,1197.16,315772900.0,1515385.6201,45560.2572802,117.644284156,-1.48993733244,-1.61057448399,-1.48329365646,-1.57621990307,-0.900933611803,-0.173194457649,1.38405617912,-0.841743416833,-1.3577564807,-1.43887554109,-1.33634182623,-1.42766095373,-0.619913036236,-0.180728394273,1.07476941276,-0.682126368649
2017-04-17,1936,sz300226,36.31,35.76,36.6,35.3,day,15711.0,-852.18,217.766810611,11.065830721,1318.4161,1278.7776,1339.56,1246.09,246835521.0,726210.7524,47422.3838036,122.452609546,-1.42145052014,-1.4834086097,-1.44823778522,-1.484877037,-0.946468904862,-0.107643525892,1.41679508355,-0.832975298904,-1.30713634439,-1.34737002127,-1.31105297131,-1.36051309442,-0.628218938904,-0.185210235661,1.14816841017,-0.679975574121
2017-04-14,1935,sz300226,36.32,36.46,37.0,36.2,day,21476.0,-578.66,223.318938927,11.3479623824,1319.1424,1329.3316,1369.0,1310.44,461218576.0,334847.3956,49871.3484833,128.776250233,-1.42020530537,-1.39698519999,-1.40149662356,-1.3674362092,-0.818974507347,-0.0603149329758,1.45888796066,-0.821702004423,-1.30620882682,-1.28365555032,-1.27701072673,-1.27220398453,-0.60238905076,-0.187432846343,1.24469866733,-0.677146969423
2017-04-13,1934,sz300226,36.7,36.44,37.27,36.23,day,20279.0,98.76,223.50400987,11.3573667712,1346.89,1327.8736,1389.0529,1312.6129,411237841.0,9753.5376,49954.0424282,128.989779975,-1.37288714415,-1.39945444027,-1.36994633945,-1.36352151494,-0.845446457707,0.0569025846208,1.46029105657,-0.821326227941,-1.27077390132,-1.2854931042,-1.25382303222,-1.26922205967,-0.608410966972,-0.189279102689,1.24795819485,-0.677051456212
2017-04-12,1933,sz300226,36.5,36.34,36.74,36.1,day,20407.0,487.47,222.70203578,11.3166144201,1332.25,1320.5956,1349.8276,1303.21,416445649.0,237627.0009,49596.1967407,128.065761932,-1.39779143953,-1.41180064166,-1.43187837864,-1.38048519006,-0.842615706123,0.124163104335,1.45421097432,-0.822954592699,-1.28946983572,-1.29466574968,-1.29918027598,-1.28212589385,-0.607783505542,-0.187984975416,1.23385307667,-0.677464775359
2017-04-11,1932,sz300226,36.41,36.59,36.75,36.01,day,21994.0,-111.0,222.146822949,11.2884012539,1325.6881,1338.8281,1350.5625,1296.7201,483736036.0,12321.0,49349.2109462,127.428002869,-1.40899837245,-1.38093513819,-1.4307098496,-1.39222927284,-0.80751880953,0.0206067172253,1.4500016866,-0.824081922147,-1.29784967533,-1.27168687379,-1.29833049182,-1.29103214548,-0.599676040289,-0.189264521688,1.22411769647,-0.677750049044
2017-04-10,1931,sz300226,38.2,36.3,38.6,36.3,day,30933.0,-2650.15,223.935842073,11.3793103448,1459.24,1317.69,1489.96,1317.69,956850489.0,7023295.0225,50147.2613649,129.488703924,-1.18610492879,-1.41673912221,-1.21453197694,-1.35438722833,-0.60983061883,-0.41875565738,1.46356494701,-0.820449416148,-1.12729792933,-1.29832775005,-1.13714150444,-1.26225462872,-0.542672965116,-0.149448157999,1.25557425963,-0.676828284356
2017-04-07,1930,sz300226,38.55,38.2,38.77,38.1,day,13528.0,-31.36,235.040098705,11.9435736677,1486.1025,1459.24,1503.1129,1451.61,183006784.0,983.4496,55243.847999,142.648951956,-1.14252241187,-1.18216129586,-1.19466698324,-1.11950557272,-0.994746488517,0.0343872420126,1.54775070124,-0.797902827187,-1.0929933161,-1.11992874378,-1.12193246101,-1.07847287276,-0.635909328132,-0.189328909322,1.45646520042,-0.670941621712
