C: 4.0,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.11893, Eidx_CV: 65.39542 
C: 1.5,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.76868, Eidx_CV: 56.8597 
C: 1.5,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.11893, Eidx_CV: 65.39542 
C: 1.8,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.76868, Eidx_CV: 56.8597 
C: 1.8,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81657 
C: 1.3,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 244.07832, Eidx_CV: 56.82225 
C: 1.5,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81657 
C: 3.0,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.11893, Eidx_CV: 65.39542 
C: 4.0,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81656 
C: 2.0,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81657 
C: 1.8,  Sigma: 0.3, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 289.519, Eidx_CV: 61.45582 
C: 3.0,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81656 
C: 3.0,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81657 
C: 1.8,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81656 
C: 4.0,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.76868, Eidx_CV: 56.8597 
C: 2.0,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.90508, Eidx_CV: 56.81656 
