C: 1.8,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.34891, Eidx_CV: 50.15117 
C: 1.3,  Sigma: 0.06, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 249.48685, Eidx_CV: 54.19949 
C: 2.0,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 231.80537, Eidx_CV: 51.49849 
C: 3.0,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.34891, Eidx_CV: 50.15117 
C: 2.0,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.34891, Eidx_CV: 50.15117 
C: 3.0,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 231.80537, Eidx_CV: 51.49849 
C: 2.0,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.14991, Eidx_CV: 50.03753 
C: 3.0,  Sigma: 0.06, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 211.91758, Eidx_CV: 50.33519 
C: 1.3,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.59882, Eidx_CV: 50.03771 
C: 4.0,  Sigma: 0.08, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 231.80537, Eidx_CV: 51.49849 
C: 4.0,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.34891, Eidx_CV: 50.15117 
C: 3.0,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.14991, Eidx_CV: 50.03753 
C: 1.5,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.34891, Eidx_CV: 50.15117 
C: 1.3,  Sigma: 0.05, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.65563, Eidx_CV: 50.15144 
C: 4.0,  Sigma: 0.04, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 212.14991, Eidx_CV: 50.03753 
C: 4.0,  Sigma: 0.5, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 436.94171, Eidx_CV: 102.97999 
C: 1.0,  Sigma: 1.0, TP:16.0, FP:16.0, TN:9.0, FN:9.0, Precesion: 0.5, Recall: 0.64, Accuracy: 0.5, Eidx_Training: 183.25037, Eidx_CV: 59.18246 
C: 2.0,  Sigma: 0.1, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 208.70109, Eidx_CV: 51.64613 
C: 1.0,  Sigma: 0.3, TP:23.0, FP:23.0, TN:2.0, FN:2.0, Precesion: 0.5, Recall: 0.92, Accuracy: 0.5, Eidx_Training: 103.56841, Eidx_CV: 51.45577 
C: 0.7,  Sigma: 0.3, TP:24.0, FP:23.0, TN:2.0, FN:1.0, Precesion: 0.51, Recall: 0.96, Accuracy: 0.52, Eidx_Training: 106.7881, Eidx_CV: 50.32092 
C: 0.6,  Sigma: 2.0, TP:18.0, FP:16.0, TN:9.0, FN:7.0, Precesion: 0.53, Recall: 0.72, Accuracy: 0.54, Eidx_Training: 189.84401, Eidx_CV: 47.9909 
