C: 3.0,  Sigma: 0.06, TP:27.0, FP:22.0, TN:1.0, FN:0.0, Precesion: 0.55, Recall: 1.0, Accuracy: 0.56, Eidx_Training: 298.52833, Eidx_CV: 51.31901 
C: 4.0,  Sigma: 0.08, TP:27.0, FP:22.0, TN:1.0, FN:0.0, Precesion: 0.55, Recall: 1.0, Accuracy: 0.56, Eidx_Training: 252.29778, Eidx_CV: 47.30077 
C: 1.3,  Sigma: 0.8, TP:16.0, FP:15.0, TN:8.0, FN:11.0, Precesion: 0.52, Recall: 0.59, Accuracy: 0.48, Eidx_Training: 247.20009, Eidx_CV: 64.58079 
C: 2.0,  Sigma: 0.1, TP:27.0, FP:23.0, TN:0.0, FN:0.0, Precesion: 0.54, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 383.97679, Eidx_CV: 71.62138 
C: 4.0,  Sigma: 0.1, TP:27.0, FP:23.0, TN:0.0, FN:0.0, Precesion: 0.54, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 296.75085, Eidx_CV: 55.76439 
C: 1.0,  Sigma: 0.1, TP:26.0, FP:21.0, TN:2.0, FN:1.0, Precesion: 0.55, Recall: 0.96, Accuracy: 0.56, Eidx_Training: 182.38968, Eidx_CV: 48.39573 
C: 1.5,  Sigma: 0.04, TP:27.0, FP:22.0, TN:1.0, FN:0.0, Precesion: 0.55, Recall: 1.0, Accuracy: 0.56, Eidx_Training: 199.13599, Eidx_CV: 45.54668 
C: 4.0,  Sigma: 0.05, TP:27.0, FP:22.0, TN:1.0, FN:0.0, Precesion: 0.55, Recall: 1.0, Accuracy: 0.56, Eidx_Training: 247.48037, Eidx_CV: 45.69837 
C: 0.6,  Sigma: 1.0, TP:10.0, FP:4.0, TN:19.0, FN:17.0, Precesion: 0.71, Recall: 0.37, Accuracy: 0.58, Eidx_Training: 176.24316, Eidx_CV: 50.73502 
C: 0.8,  Sigma: 0.5, TP:14.0, FP:13.0, TN:10.0, FN:13.0, Precesion: 0.52, Recall: 0.52, Accuracy: 0.48, Eidx_Training: 172.95872, Eidx_CV: 49.0872 
C: 3.0,  Sigma: 2.0, TP:14.0, FP:10.0, TN:13.0, FN:13.0, Precesion: 0.58, Recall: 0.52, Accuracy: 0.54, Eidx_Training: 217.16684, Eidx_CV: 48.48101 
C: 4.0,  Sigma: 0.3, TP:27.0, FP:23.0, TN:0.0, FN:0.0, Precesion: 0.54, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 867.51264, Eidx_CV: 174.75085 
C: 0.7,  Sigma: 2.0, TP:1.0, FP:0.0, TN:23.0, FN:26.0, Precesion: 1.0, Recall: 0.04, Accuracy: 0.48, Eidx_Training: 257.76409, Eidx_CV: 67.41135 
C: 3.0,  Sigma: 0.5, TP:27.0, FP:23.0, TN:0.0, FN:0.0, Precesion: 0.54, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 529.83687, Eidx_CV: 102.05687 
C: 1.8,  Sigma: 0.3, TP:27.0, FP:22.0, TN:1.0, FN:0.0, Precesion: 0.55, Recall: 1.0, Accuracy: 0.56, Eidx_Training: 335.43126, Eidx_CV: 67.17897 
C: 3.0,  Sigma: 0.08, TP:27.0, FP:23.0, TN:0.0, FN:0.0, Precesion: 0.54, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 743.30508, Eidx_CV: 141.37894 
C: 1.0,  Sigma: 0.06, TP:27.0, FP:23.0, TN:0.0, FN:0.0, Precesion: 0.54, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 234.99082, Eidx_CV: 45.62989 
C: 2.0,  Sigma: 0.04, TP:27.0, FP:22.0, TN:1.0, FN:0.0, Precesion: 0.55, Recall: 1.0, Accuracy: 0.56, Eidx_Training: 190.87496, Eidx_CV: 45.7086 
C: 1.5,  Sigma: 0.08, TP:27.0, FP:23.0, TN:0.0, FN:0.0, Precesion: 0.54, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 246.93499, Eidx_CV: 47.25439 
C: 2.0,  Sigma: 0.3, TP:3.0, FP:2.0, TN:21.0, FN:24.0, Precesion: 0.6, Recall: 0.11, Accuracy: 0.48, Eidx_Training: 176.15367, Eidx_CV: 56.75012 
