C: 0.6,  Sigma: 0.3, TP:18.0, FP:18.0, TN:13.0, FN:1.0, Precesion: 0.5, Recall: 0.95, Accuracy: 0.62, Eidx_Training: 170.60208, Eidx_CV: 43.17925 
C: 0.6,  Sigma: 0.1, TP:19.0, FP:11.0, TN:20.0, FN:0.0, Precesion: 0.63, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 136.4025, Eidx_CV: 35.0719 
C: 0.6,  Sigma: 1.0, TP:11.0, FP:6.0, TN:25.0, FN:8.0, Precesion: 0.65, Recall: 0.58, Accuracy: 0.72, Eidx_Training: 171.38166, Eidx_CV: 37.24119 
C: 0.6,  Sigma: 0.5, TP:14.0, FP:11.0, TN:20.0, FN:5.0, Precesion: 0.56, Recall: 0.74, Accuracy: 0.68, Eidx_Training: 135.36229, Eidx_CV: 33.80119 
C: 0.6,  Sigma: 1.5, TP:12.0, FP:7.0, TN:24.0, FN:7.0, Precesion: 0.63, Recall: 0.63, Accuracy: 0.72, Eidx_Training: 182.96675, Eidx_CV: 39.26668 
C: 0.6,  Sigma: 2.0, TP:10.0, FP:7.0, TN:24.0, FN:9.0, Precesion: 0.59, Recall: 0.53, Accuracy: 0.68, Eidx_Training: 191.54625, Eidx_CV: 39.39408 
C: 0.6,  Sigma: 0.08, TP:19.0, FP:8.0, TN:23.0, FN:0.0, Precesion: 0.7, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 124.17689, Eidx_CV: 33.95068 
C: 0.6,  Sigma: 0.8, TP:11.0, FP:2.0, TN:29.0, FN:8.0, Precesion: 0.85, Recall: 0.58, Accuracy: 0.8, Eidx_Training: 176.06287, Eidx_CV: 36.36696 
C: 0.6,  Sigma: 0.05, TP:19.0, FP:8.0, TN:23.0, FN:0.0, Precesion: 0.7, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 117.81852, Eidx_CV: 30.20023 
C: 0.6,  Sigma: 0.06, TP:19.0, FP:11.0, TN:20.0, FN:0.0, Precesion: 0.63, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 126.41967, Eidx_CV: 33.03857 
C: 0.6,  Sigma: 0.04, TP:19.0, FP:8.0, TN:23.0, FN:0.0, Precesion: 0.7, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 130.14257, Eidx_CV: 32.78926 
C: 0.7,  Sigma: 0.04, TP:19.0, FP:8.0, TN:23.0, FN:0.0, Precesion: 0.7, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 118.77252, Eidx_CV: 37.11857 
C: 0.7,  Sigma: 0.1, TP:19.0, FP:9.0, TN:22.0, FN:0.0, Precesion: 0.68, Recall: 1.0, Accuracy: 0.82, Eidx_Training: 160.23264, Eidx_CV: 38.87121 
C: 0.7,  Sigma: 0.05, TP:18.0, FP:0.0, TN:31.0, FN:1.0, Precesion: 1.0, Recall: 0.95, Accuracy: 0.98, Eidx_Training: 71.51583, Eidx_CV: 21.50184 
C: 0.7,  Sigma: 0.06, TP:19.0, FP:8.0, TN:23.0, FN:0.0, Precesion: 0.7, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 67.44028, Eidx_CV: 21.15853 
C: 0.7,  Sigma: 0.08, TP:18.0, FP:8.0, TN:23.0, FN:1.0, Precesion: 0.69, Recall: 0.95, Accuracy: 0.82, Eidx_Training: 79.16015, Eidx_CV: 23.99893 
