quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,SA,Turn_Over,open_price-Order2,high_price-Order2,low_price-Order2,close_price-Order2,trading_volumn-Order2,Capital-Order2,PE_TTM-Order2,PB-Order2,SA-Order2,Turn_Over-Order2,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB,nor_SA,nor_Turn_Over,nor_open_price-Order2,nor_high_price-Order2,nor_low_price-Order2,nor_close_price-Order2,nor_trading_volumn-Order2,nor_Capital-Order2,nor_PE_TTM-Order2,nor_PB-Order2,nor_SA-Order2,nor_Turn_Over-Order2
2017-06-09,2856,sh600221,3.24,3.26,3.26,3.23,day,563336.0,1319.69,-62.962962963,1.0487012987,0.0,4.76915795971e-05,10.4976,10.6276,10.6276,10.4329,3.17347448896e+11,1741581.6961,3964.33470508,1.0997744139,0.0,2.27448676446e-09,-0.497018652792,-0.337780602228,-0.578300712667,-0.334336957438,-0.473625578344,0.1489016312,-1.18111085123,-1.27516193775,1.08765879106,-0.473625578344,-0.508279253928,-0.351348964363,-0.587960359917,-0.348141633824,-0.364196748023,-0.181207680178,-0.676439300149,-1.24365200864,-0.498766482606,-0.364196748023
2017-06-06,2853,sh600221,3.2,3.2,3.21,3.18,day,255189.0,-1150.34,-61.9883040936,1.03246753247,-0.00311526479751,2.16040986299e-05,10.24,10.24,10.3041,10.1124,65121425721.0,1323282.1156,3842.5498444,1.0659892056,9.70487475859e-06,4.66737077612e-10,-0.902635540844,-0.932436273215,-1.06186274203,-0.844695552905,-0.964691896431,-0.238856896804,-1.17663966742,-1.4959272204,0.656503252583,-0.964691896431,-0.90540327661,-0.934523926998,-1.05864874505,-0.850216885101,-0.476824819543,-0.183159487059,-0.677453534426,-1.44292642861,-0.456227378087,-0.476824819543
2017-06-02,2851,sh600221,3.25,3.24,3.25,3.21,day,495830.0,-2489.29,-62.5730994152,1.04220779221,-0.00310559006211,4.19765751019e-05,10.5625,10.4976,10.5625,10.3041,2.458473889e+11,6196564.7041,3915.39277043,1.08619708214,9.64468963389e-06,1.76203285729e-09,-0.395614430779,-0.535999159223,-0.67501311854,-0.538480395625,-0.581203853871,-0.449052433324,-1.17932237771,-1.36346805081,0.657842244939,-0.581203853871,-0.408227432996,-0.546944282068,-0.682680031856,-0.549911656802,-0.396124119234,-0.160420505399,-0.676846892583,-1.32373483326,-0.456491185851,-0.396124119234
2017-05-31,2843,sh600221,3.24,3.23,3.26,3.22,day,396553.0,1189.96,-62.7680311891,1.04545454545,-0.00940438871473,3.35718629094e-05,10.4976,10.4329,10.6276,10.3684,1.57254281809e+11,1416004.8016,3939.82573935,1.09297520661,8.84425270978e-05,1.12706997921e-09,-0.497018652792,-0.635108437721,-0.578300712667,-0.436408676532,-0.739412731,0.128535921537,-1.18021661447,-1.31931499428,-0.21391733293,-0.739412731,-0.508279253928,-0.644290567111,-0.587960359917,-0.449183299057,-0.435684156204,-0.182726838343,-0.67664341282,-1.28375559706,-0.11109884158,-0.435684156204
2017-05-26,2842,sh600221,3.2,3.23,3.28,3.19,day,746864.0,3091.72,-62.1832358674,1.03571428571,-0.0159744408946,6.32289147226e-05,10.24,10.4329,10.7584,10.1761,5.57805834496e+11,9558732.5584,3866.75482295,1.07270408163,0.000255182761894,3.997895657e-09,-0.902635540844,-0.635108437721,-0.384875900922,-0.742623833812,-0.181153416597,0.427084383789,-1.17753390419,-1.45177416387,-1.12321865065,-0.181153416597,-0.90540327661,-0.644290567111,-0.397648023671,-0.750428449823,-0.256823353677,-0.14473246109,-0.677251953386,-1.40332024904,0.619768938984,-0.256823353677
2017-05-25,2841,sh600221,3.15,3.2,3.2,3.13,day,576212.0,2049.53,-61.0136452242,1.01623376623,0.0,4.87816515593e-05,9.9225,10.24,10.24,9.7969,3.32020268944e+11,4200573.2209,3722.66490354,1.03273106763,0.0,2.37964952885e-09,-1.40965665091,-0.932436273215,-1.1585751479,-1.35505414837,-0.453106248571,0.263475820209,-1.17216848361,-1.71669250304,1.08765879106,-0.453106248571,-1.39487096761,-0.934523926998,-1.15191342971,-1.34445944915,-0.35764480146,-0.169733902048,-0.678451946016,-1.63909204327,-0.498766482606,-0.35764480146
2017-05-24,2840,sh600221,3.15,3.15,3.16,3.13,day,301218.0,-1356.43,-61.0136452242,1.01623376623,-0.0031746031746,2.55008773149e-05,9.9225,9.9225,9.9856,9.7969,90732283524.0,1839902.3449,3722.66490354,1.03273106763,1.00781053162e-05,6.5029474383e-10,-1.40965665091,-1.4279826657,-1.54542477139,-1.35505414837,-0.891339595239,-0.271210007915,-1.17216848361,-1.71669250304,0.648290766136,-0.891339595239,-1.39487096761,-1.41222787601,-1.52206219379,-1.34445944915,-0.465388642229,-0.180748911086,-0.678451946016,-1.63909204327,-0.454591407083,-0.465388642229
2017-05-23,2839,sh600221,3.17,3.15,3.18,3.15,day,265001.0,-1072.44,-61.4035087719,1.02272727273,-0.00949367088608,2.24347747788e-05,10.0489,9.9225,10.1124,9.9225,70225530001.0,1150127.5536,3770.3908895,1.04597107438,9.01297868931e-05,5.03319119377e-10,-1.20684820688,-1.4279826657,-1.35199995965,-1.15091071019,-0.949055389462,-0.226627737915,-1.17395695714,-1.62838638998,-0.226274068285,-0.949055389462,-1.20000886952,-1.41222787601,-1.33756980666,-1.147702346,-0.474545651776,-0.183967434954,-0.678054480103,-1.56099885404,-0.103703123184,-0.474545651776
2017-05-22,2838,sh600221,3.18,3.17,3.19,3.16,day,290025.0,-186.49,-61.5984405458,1.02597402597,-0.00632911392405,2.45532867998e-05,10.1124,10.0489,10.1761,9.9856,84114500625.0,34778.5201,3794.36787768,1.05262270197,4.00576830636e-05,6.02863892672e-10,-1.10544398487,-1.22976410871,-1.25528755378,-1.04883899109,-0.909176878414,-0.0875465656679,-1.1748511939,-1.58423333345,0.211703551497,-0.909176878414,-1.10211533132,-1.22204904402,-1.24488711691,-1.04885383319,-0.468343722423,-0.189171709641,-0.677854797785,-1.52176573111,-0.323182767307,-0.468343722423
2017-05-19,2837,sh600221,3.19,3.17,3.2,3.16,day,501681.0,-2008.04,-61.5984405458,1.02597402597,-0.00943396226415,4.24719161279e-05,10.1761,10.0489,10.24,9.9856,2.51683825761e+11,4032224.6416,3794.36787768,1.05262270197,8.89996440014e-05,1.80386365958e-09,-1.00403976286,-1.22976410871,-1.1585751479,-1.04883899109,-0.571879638392,-0.373503232868,-1.1748511939,-1.58423333345,-0.21801033961,-0.571879638392,-1.00391346702,-1.22204904402,-1.15191342971,-1.04885383319,-0.393517938397,-0.170519424986,-0.677854797785,-1.52176573111,-0.108656846729,-0.393517938397
2017-05-18,2836,sh600221,3.22,3.19,3.23,3.18,day,309448.0,-3517.56,-61.9883040936,1.03246753247,-0.0124223602484,2.61976225967e-05,10.3684,10.1761,10.4329,10.1124,95758064704.0,12373228.3536,3842.5498444,1.0659892056,0.000154315034142,6.86315429721e-10,-0.699827096818,-1.03154555171,-0.868437930285,-0.844695552905,-0.878224180201,-0.61047576081,-1.17663966742,-1.4959272204,-0.631607393424,-0.878224180201,-0.707457917478,-1.03066654855,-0.871246383366,-0.850216885101,-0.463144448568,-0.131599882154,-0.677453534426,-1.44292642861,0.177638265469,-0.463144448568
2017-05-17,2835,sh600221,3.22,3.23,3.25,3.22,day,370711.0,-543.83,-62.7680311891,1.04545454545,-0.00630914826498,3.13840996563e-05,10.3684,10.4329,10.5625,10.3684,1.37426645521e+11,295751.0689,3939.82573935,1.09297520661,3.98053518296e-05,9.8496171124e-10,-0.699827096818,-0.635108437721,-0.67501311854,-0.436408676532,-0.780594815499,-0.143643711207,-1.18021661447,-1.31931499428,0.214466817237,-0.780594815499,-0.707457917478,-0.644290567111,-0.682680031856,-0.449183299057,-0.444537915264,-0.187953998603,-0.67664341282,-1.28375559706,-0.324288803707,-0.444537915264
2017-05-16,2834,sh600221,3.19,3.23,3.23,3.17,day,420243.0,2480.6,-61.7933723197,1.02922077922,0.0,3.55774395469e-05,10.1761,10.4329,10.4329,10.0489,1.76604179049e+11,6153376.36,3818.42086264,1.05929541238,0.0,1.26575420472e-09,-1.00403976286,-0.635108437721,-0.868437930285,-0.946767271998,-0.70166009646,0.331147495722,-1.17574543066,-1.54008027693,1.08765879106,-0.70166009646,-1.00391346702,-0.644290567111,-0.871246383366,-0.949692012889,-0.427043724964,-0.160622024385,-0.677654482559,-1.48240825596,-0.498766482606,-0.427043724964
2017-05-15,2833,sh600221,3.2,3.19,3.22,3.18,day,398414.0,-3286.45,-61.9883040936,1.03246753247,-0.00946372239748,3.37294136955e-05,10.24,10.1761,10.3684,10.1124,1.58733715396e+11,10800753.6025,3842.5498444,1.0659892056,8.95620416165e-05,1.13767334824e-09,-0.902635540844,-1.03154555171,-0.965150336158,-0.844695552905,-0.736447021718,-0.574194876203,-1.17663966742,-1.4959272204,-0.222129169675,-0.736447021718,-0.90540327661,-1.03066654855,-0.965093062937,-0.850216885101,-0.435023535425,-0.138937128431,-0.677453534426,-1.44292642861,-0.106191705084,-0.435023535425
2017-05-12,2832,sh600221,3.18,3.2,3.21,3.17,day,394983.0,1049.95,-61.7933723197,1.02922077922,-0.00319488817891,3.34389479529e-05,10.1124,10.24,10.3041,10.0489,1.56011570289e+11,1102395.0025,3818.42086264,1.05929541238,1.02073104758e-05,1.1181632402e-09,-1.10544398487,-0.932436273215,-1.06186274203,-0.946767271998,-0.741914699604,0.10655640246,-1.17574543066,-1.54008027693,0.645483302718,-0.741914699604,-1.10211533132,-0.934523926998,-1.05864874505,-0.949692012889,-0.43623907199,-0.184190157438,-0.677654482559,-1.48240825596,-0.454025065742,-0.43623907199
