quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,SA,Turn_Over,open_price-Order2,high_price-Order2,low_price-Order2,close_price-Order2,trading_volumn-Order2,Capital-Order2,PE_TTM-Order2,PB-Order2,SA-Order2,Turn_Over-Order2
2017-06-09,2856,sh600221,3.24,3.26,3.26,3.23,day,563336.0,1319.69,-62.962962963,1.0487012987,0.0,4.76915795971e-05,10.4976,10.6276,10.6276,10.4329,3.17347448896e+11,1741581.6961,3964.33470508,1.0997744139,0.0,2.27448676446e-09
2017-06-06,2853,sh600221,3.2,3.2,3.21,3.18,day,255189.0,-1150.34,-61.9883040936,1.03246753247,-0.00311526479751,2.16040986299e-05,10.24,10.24,10.3041,10.1124,65121425721.0,1323282.1156,3842.5498444,1.0659892056,9.70487475859e-06,4.66737077612e-10
2017-06-02,2851,sh600221,3.25,3.24,3.25,3.21,day,495830.0,-2489.29,-62.5730994152,1.04220779221,-0.00310559006211,4.19765751019e-05,10.5625,10.4976,10.5625,10.3041,2.458473889e+11,6196564.7041,3915.39277043,1.08619708214,9.64468963389e-06,1.76203285729e-09
2017-05-31,2843,sh600221,3.24,3.23,3.26,3.22,day,396553.0,1189.96,-62.7680311891,1.04545454545,-0.00940438871473,3.35718629094e-05,10.4976,10.4329,10.6276,10.3684,1.57254281809e+11,1416004.8016,3939.82573935,1.09297520661,8.84425270978e-05,1.12706997921e-09
2017-05-26,2842,sh600221,3.2,3.23,3.28,3.19,day,746864.0,3091.72,-62.1832358674,1.03571428571,-0.0159744408946,6.32289147226e-05,10.24,10.4329,10.7584,10.1761,5.57805834496e+11,9558732.5584,3866.75482295,1.07270408163,0.000255182761894,3.997895657e-09
2017-05-25,2841,sh600221,3.15,3.2,3.2,3.13,day,576212.0,2049.53,-61.0136452242,1.01623376623,0.0,4.87816515593e-05,9.9225,10.24,10.24,9.7969,3.32020268944e+11,4200573.2209,3722.66490354,1.03273106763,0.0,2.37964952885e-09
2017-05-24,2840,sh600221,3.15,3.15,3.16,3.13,day,301218.0,-1356.43,-61.0136452242,1.01623376623,-0.0031746031746,2.55008773149e-05,9.9225,9.9225,9.9856,9.7969,90732283524.0,1839902.3449,3722.66490354,1.03273106763,1.00781053162e-05,6.5029474383e-10
2017-05-23,2839,sh600221,3.17,3.15,3.18,3.15,day,265001.0,-1072.44,-61.4035087719,1.02272727273,-0.00949367088608,2.24347747788e-05,10.0489,9.9225,10.1124,9.9225,70225530001.0,1150127.5536,3770.3908895,1.04597107438,9.01297868931e-05,5.03319119377e-10
2017-05-22,2838,sh600221,3.18,3.17,3.19,3.16,day,290025.0,-186.49,-61.5984405458,1.02597402597,-0.00632911392405,2.45532867998e-05,10.1124,10.0489,10.1761,9.9856,84114500625.0,34778.5201,3794.36787768,1.05262270197,4.00576830636e-05,6.02863892672e-10
2017-05-19,2837,sh600221,3.19,3.17,3.2,3.16,day,501681.0,-2008.04,-61.5984405458,1.02597402597,-0.00943396226415,4.24719161279e-05,10.1761,10.0489,10.24,9.9856,2.51683825761e+11,4032224.6416,3794.36787768,1.05262270197,8.89996440014e-05,1.80386365958e-09
2017-05-18,2836,sh600221,3.22,3.19,3.23,3.18,day,309448.0,-3517.56,-61.9883040936,1.03246753247,-0.0124223602484,2.61976225967e-05,10.3684,10.1761,10.4329,10.1124,95758064704.0,12373228.3536,3842.5498444,1.0659892056,0.000154315034142,6.86315429721e-10
2017-05-17,2835,sh600221,3.22,3.23,3.25,3.22,day,370711.0,-543.83,-62.7680311891,1.04545454545,-0.00630914826498,3.13840996563e-05,10.3684,10.4329,10.5625,10.3684,1.37426645521e+11,295751.0689,3939.82573935,1.09297520661,3.98053518296e-05,9.8496171124e-10
2017-05-16,2834,sh600221,3.19,3.23,3.23,3.17,day,420243.0,2480.6,-61.7933723197,1.02922077922,0.0,3.55774395469e-05,10.1761,10.4329,10.4329,10.0489,1.76604179049e+11,6153376.36,3818.42086264,1.05929541238,0.0,1.26575420472e-09
2017-05-15,2833,sh600221,3.2,3.19,3.22,3.18,day,398414.0,-3286.45,-61.9883040936,1.03246753247,-0.00946372239748,3.37294136955e-05,10.24,10.1761,10.3684,10.1124,1.58733715396e+11,10800753.6025,3842.5498444,1.0659892056,8.95620416165e-05,1.13767334824e-09
2017-05-12,2832,sh600221,3.18,3.2,3.21,3.17,day,394983.0,1049.95,-61.7933723197,1.02922077922,-0.00319488817891,3.34389479529e-05,10.1124,10.24,10.3041,10.0489,1.56011570289e+11,1102395.0025,3818.42086264,1.05929541238,1.02073104758e-05,1.1181632402e-09
2017-05-11,2831,sh600221,3.21,3.19,3.21,3.13,day,585025.0,-831.15,-61.0136452242,1.01623376623,-0.00623052959502,4.95277531594e-05,10.3041,10.1761,10.3041,9.7969,3.42254250625e+11,690810.3225,3722.66490354,1.03273106763,3.88194990344e-05,2.45299833301e-09
2017-05-10,2830,sh600221,3.26,3.21,3.26,3.21,day,483188.0,-5478.94,-62.5730994152,1.04220779221,-0.015479876161,4.09063133944e-05,10.6276,10.3041,10.6276,10.3041,2.33470643344e+11,30018783.5236,3915.39277043,1.08619708214,0.00023962656596,1.67332647552e-09
2017-05-09,2829,sh600221,3.24,3.26,3.27,3.23,day,356237.0,2415.69,-62.962962963,1.0487012987,-0.00308641975309,3.01587422798e-05,10.4976,10.6276,10.6929,10.4329,1.26904800169e+11,5835558.1761,3964.33470508,1.0997744139,9.52598689224e-06,9.09549735898e-10
2017-05-08,2828,sh600221,3.25,3.25,3.26,3.24,day,391193.0,-255.87,-63.1578947368,1.05194805195,-0.00306748466258,3.31180895546e-05,10.5625,10.5625,10.6276,10.4976,1.53031963249e+11,65469.4569,3988.91966759,1.106594704,9.40946215514e-06,1.09680785574e-09
2017-05-05,2827,sh600221,3.29,3.26,3.3,3.26,day,550115.0,388.39,-63.5477582846,1.05844155844,-0.0122699386503,4.65723002081e-05,10.8241,10.6276,10.89,10.6276,3.02626513225e+11,150846.7921,4038.317583,1.12029853264,0.000150551394482,2.16897914668e-09
2017-05-04,2826,sh600221,3.3,3.27,3.31,3.26,day,511202.0,-3747.76,-63.5477582846,1.05844155844,-0.0121212121212,4.32779564473e-05,10.89,10.6929,10.9561,10.6276,2.61327484804e+11,14045705.0176,4038.317583,1.12029853264,0.000146923783287,1.87298151425e-09
2017-05-03,2825,sh600221,3.31,3.31,3.33,3.3,day,410497.0,-756.81,-64.3274853801,1.07142857143,-0.00606060606061,3.47523509058e-05,10.9561,10.9561,11.0889,10.89,1.68507787009e+11,572761.3761,4138.02537533,1.14795918367,3.67309458219e-05,1.20772589348e-09
2017-05-02,2824,sh600221,3.32,3.32,3.33,3.3,day,402302.0,-1916.93,-64.3274853801,1.07142857143,-0.00302114803625,3.40585686962e-05,11.0224,11.0224,11.0889,10.89,1.61846899204e+11,3674620.6249,4138.02537533,1.14795918367,9.12733545696e-06,1.15998610164e-09
2017-04-28,2823,sh600221,3.32,3.34,3.34,3.31,day,379849.0,-456.64,-64.522417154,1.07467532468,0.0,3.2157715499e-05,11.0224,11.1556,11.1556,10.9561,1.44285262801e+11,208520.0896,4163.14231539,1.15492705347,0.0,1.03411866612e-09
2017-04-27,2822,sh600221,3.34,3.33,3.34,3.28,day,792621.0,-4033.1,-63.9376218324,1.06493506494,-0.003003003003,6.7102666103e-05,11.1556,11.0889,11.1556,10.7584,6.28248049641e+11,16265895.61,4088.01948558,1.13408669253,9.01802703604e-06,4.50276779813e-09
2017-04-26,2821,sh600221,3.37,3.34,3.37,3.33,day,469978.0,-5351.18,-64.9122807018,1.08116883117,-0.0089552238806,3.97879652567e-05,11.3569,11.1556,11.3569,11.0889,2.20879320484e+11,28635127.3924,4213.6041859,1.16892604149,8.01960347516e-05,1.58308217927e-09
2017-04-25,2820,sh600221,3.37,3.37,3.38,3.35,day,460299.0,-3939.35,-65.3021442495,1.08766233766,-0.003003003003,3.89685487825e-05,11.3569,11.3569,11.4244,11.2225,2.11875169401e+11,15518478.4225,4264.37004358,1.18300936077,9.01802703604e-06,1.51854779422e-09
2017-04-24,2819,sh600221,3.39,3.39,3.4,3.33,day,1088810.0,-759.8,-64.9122807018,1.08116883117,-0.00297619047619,9.21777922609e-05,11.4921,11.4921,11.56,11.0889,1.1855072161e+12,577296.04,4213.6041859,1.16892604149,8.85770975057e-06,8.49674538609e-09
2017-04-21,2818,sh600221,3.38,3.4,3.41,3.36,day,651747.0,1893.23,-65.4970760234,1.09090909091,-0.00298507462687,5.51763848354e-05,11.4244,11.56,11.6281,11.2896,4.24774152009e+11,3584319.8329,4289.86696761,1.19008264463,8.91067052796e-06,3.04443344351e-09
2017-04-20,2817,sh600221,3.39,3.39,3.4,3.35,day,670982.0,-3845.62,-65.3021442495,1.08766233766,-0.00298507462687,5.68048047013e-05,11.4921,11.4921,11.56,11.2225,4.50216844324e+11,14788793.1844,4264.37004358,1.18300936077,8.91067052796e-06,3.22678583715e-09
2017-04-19,2816,sh600221,3.4,3.4,3.41,3.35,day,960598.0,-2706.37,-65.3021442495,1.08766233766,-0.00294117647059,8.1323465885e-05,11.56,11.56,11.6281,11.2225,9.22748517604e+11,7324438.5769,4264.37004358,1.18300936077,8.65051903114e-06,6.61350610355e-09
2017-04-18,2815,sh600221,3.43,3.41,3.46,3.4,day,588378.0,-2360.19,-66.2768031189,1.1038961039,-0.0146627565982,4.98116154838e-05,11.7649,11.6281,11.9716,11.56,3.46188670884e+11,5570496.8361,4392.61463166,1.2185866082,0.000214996431059,2.4811970371e-09
2017-04-17,2814,sh600221,3.45,3.44,3.46,3.41,day,817256.0,-7859.74,-66.4717348928,1.10714285714,-0.00581395348837,6.91882456921e-05,11.9025,11.8336,11.9716,11.6281,6.67907369536e+11,61775512.8676,4418.49153966,1.22576530612,3.3802055165e-05,4.78701334195e-09
